0
0,339486753
1,48878718
3,604250359
6,68534378
10,65634111
15,40862393
20,82241876
26,77780319
33,16011907
39,86247697
46,78675417
53,8438188
60,95336219
68,04353925
75,05052071
81,91801118
88,596761
95,04408605
101,2234028
107,1037817
112,6595207
117,8697391
122,7179912
127,1919007
131,2828136
134,9854698
138,2975657
141,2192789
143,7529186
145,90265
147,6742633
149,0749991
150,11338
150,798997
151,1422901
151,154339
150,8466728
150,2311019
149,3195706
148,1240327
146,6563455
144,9281821
142,9509605
140,7357871
138,2934126
135,6342009
132,7681064
129,7046618
126,4529723
123,0217174
119,4191578
115,6531471
111,7311478
107,66025
103,4471932
99,09838972
94,61992259
90,01756079
85,29683596
80,46314037
75,52182636
70,47829792
65,33809026
60,10693604
54,79081836
49,39601127
43,92910872
38,39704314
32,8070948
27,16689297
21,48440997
15,76794902
10,02612683
4,267851634
-1,497702418
-7,261124052
-13,01279606
-18,74292843
-24,44159287
-30,09875836
-35,70432722
-41,24817142
-46,72016883
-52,11023909
-57,40837884
-62,60469623
-67,68944438
-72,6530537
-77,48616303
-82,17964933
-86,72465599
-91,11261963
-95,33529534
-99,38478033
-103,253536
-106,9344086
-110,4206478
-113,7059243
-116,7843455
-119,6504698
-122,2993193
-124,7265189
-126,9284886
-128,9025254
-130,6468265
-132,1604814
-133,4434485
-134,4965222
-135,3212966
-135,9201255
-136,2960825
-136,4529194
-136,3950256
-136,1273872
-135,655546
-134,9855592
-134,1239603
-133,0777195
-131,8542051
-130,4611463
-128,9065953
-127,1988918
-125,3466268
-123,3586084
-121,2438273
-119,0114243
-116,6705303
-114,2300522
-111,6985694
-109,0842883
-106,3950271
-103,6382434
-100,8210542
-97,95019873
-95,03198286
-92,07222239
-89,07619453
-86,04860061
-82,99354105
-79,91450223
-76,81435418
-73,69535817
-70,55918254
-67,40692594
-64,23914651
-61,05589606
-57,85675821
-54,64088966
-51,40706364
-48,153715
-44,8789861
-41,58077308
-38,25677196
-34,90452407
-31,52146051
-28,10494527
-24,65228962
